"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2012",43082.387684,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"BEL","GDP","TOT","USD_CAP","A","2012",42585.15311,
"CAN","GDP","TOT","USD_CAP","A","2012",42145.104092,
"CZE","GDP","TOT","USD_CAP","A","2012",29051.390424,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.543206,
"FIN","GDP","TOT","USD_CAP","A","2012",40619.937023,
"FRA","GDP","TOT","USD_CAP","A","2012",37671.028181,
"DEU","GDP","TOT","USD_CAP","A","2012",43564.07389,
"GRC","GDP","TOT","USD_CAP","A","2012",25284.405782,"P"
"HUN","GDP","TOT","USD_CAP","A","2012",23094.473331,
"ISL","GDP","TOT","USD_CAP","A","2012",40486.432961,
"IRL","GDP","TOT","USD_CAP","A","2012",46468.788123,
"ITA","GDP","TOT","USD_CAP","A","2012",35757.023679,
"JPN","GDP","TOT","USD_CAP","A","2012",37213.837398,
"KOR","GDP","TOT","USD_CAP","A","2012",32097.070005,
"LUX","GDP","TOT","USD_CAP","A","2012",91526.720705,
"MEX","GDP","TOT","USD_CAP","A","2012",16957.69746,
"NLD","GDP","TOT","USD_CAP","A","2012",46715.500984,
"NZL","GDP","TOT","USD_CAP","A","2012",32912.105077,
"NOR","GDP","TOT","USD_CAP","A","2012",65441.924842,
"POL","GDP","TOT","USD_CAP","A","2012",23542.002955,"E"
"PRT","GDP","TOT","USD_CAP","A","2012",26454.226847,
"SVK","GDP","TOT","USD_CAP","A","2012",26654.008792,
"ESP","GDP","TOT","USD_CAP","A","2012",31992.80352,
"SWE","GDP","TOT","USD_CAP","A","2012",44724.851249,
"CHE","GDP","TOT","USD_CAP","A","2012",57849.601723,
"TUR","GDP","TOT","USD_CAP","A","2012",20549.293077,"E"
"GBR","GDP","TOT","USD_CAP","A","2012",37702.821047,
"USA","GDP","TOT","USD_CAP","A","2012",51388.157531,
"CHL","GDP","TOT","USD_CAP","A","2012",21446.537619,
"CHN","GDP","TOT","USD_CAP","A","2012",11323.021977,
"COL","GDP","TOT","USD_CAP","A","2012",12135.912787,
"EST","GDP","TOT","USD_CAP","A","2012",25973.316907,
"IDN","GDP","TOT","USD_CAP","A","2012",9554.344552,"E"
"ISR","GDP","TOT","USD_CAP","A","2012",31721.32376,
"RUS","GDP","TOT","USD_CAP","A","2012",25820.932134,"E"
"SVN","GDP","TOT","USD_CAP","A","2012",28906.328743,
"ZAF","GDP","TOT","USD_CAP","A","2012",12592.846389,
"EU28","GDP","TOT","USD_CAP","A","2012",35214.119651,
"OECD","GDP","TOT","USD_CAP","A","2012",37594.948158,"E"
"OECDE","GDP","TOT","USD_CAP","A","2012",34850.944909,"E"
"LVA","GDP","TOT","USD_CAP","A","2012",21259.866516,
"BRA","GDP","TOT","USD_CAP","A","2012",15498.512123,
"LTU","GDP","TOT","USD_CAP","A","2012",24658.189179,
"SAU","GDP","TOT","USD_CAP","A","2012",50434.645101,
"EA19","GDP","TOT","USD_CAP","A","2012",37758.740092,
"ARG","GDP","TOT","USD_CAP","A","2012",20060.221771,
"CRI","GDP","TOT","USD_CAP","A","2012",14144.644371,
"BGR","GDP","TOT","USD_CAP","A","2012",16208.334647,
"HRV","GDP","TOT","USD_CAP","A","2012",21158.812077,
"CYP","GDP","TOT","USD_CAP","A","2012",31877.656914,
"MLT","GDP","TOT","USD_CAP","A","2012",29447.965373,
"PER","GDP","TOT","USD_CAP","A","2012",11154.051917,
"ROU","GDP","TOT","USD_CAP","A","2012",18981.38306,"B"
